Company,Year,Rule ID,Rule Name,Group,Category,Severity,Status,Message,Observed
AARTI DRUGS LTD,2017,BS-001,Balance sheet equation,Handbook Rules,integrity,Critical,pass,Validation passed,"{'Total Assets': np.float64(1191.04), 'Total Liabilities': np.float64(1191.04), 'Equity Share Capital': np.float64(23.86), 'Reserves': np.float64(376.28)}"
AARTI DRUGS LTD,2017,BS-009,Negative total equity,Handbook Rules,solvency,High,pass,Validation passed,"{'Equity Share Capital': np.float64(23.86), 'Reserves': np.float64(376.28)}"
AARTI DRUGS LTD,2017,CF-002,Cash flow to cash-balance tie-out,Handbook Rules,integrity,Critical,skipped,Unavailable prior-year Cash & Bank,"{'Cash & Bank': np.float64(4.17), 'Net Cash Flow': np.float64(-0.45)}"
AARTI DRUGS LTD,2017,CF-004,Financing activity plausibility,Handbook Rules,cross_statement,High,skipped,Unavailable prior-year Borrowings,"{'Borrowings': np.float64(479.5), 'Dividend Amount': np.float64(2.39), 'Cash from Financing Activity': np.float64(-68.23)}"
AARTI DRUGS LTD,2017,CF-006,Depreciation non-cash adjustment plausibility,Handbook Rules,cross_statement,High,pass,Validation passed,"{'Net profit': np.float64(81.8), 'Depreciation': np.float64(38.46), 'Cash from Operating Activity': np.float64(174.75)}"
AARTI DRUGS LTD,2017,CF-008,Sustained negative operating cash flow,Handbook Rules,trend,High,skipped,Insufficient history for Cash from Operating Activity,{'Cash from Operating Activity': np.float64(174.75)}
AARTI DRUGS LTD,2017,CF-009,Cash flow versus net income divergence,Handbook Rules,cross_statement,High,pass,Validation passed,"{'Operating_CF_Ratio': np.float64(0.1462), 'robust_z': None}"
AARTI DRUGS LTD,2017,CF-010,Dividend versus reserves,Handbook Rules,solvency,High,pass,Validation passed,"{'Dividend Amount': np.float64(2.39), 'Reserves': np.float64(376.28)}"
AARTI DRUGS LTD,2017,DV-004,Mandatory field completeness,Handbook Rules,data_completeness,Critical,pass,Validation passed,"{'Company': 'AARTI DRUGS LTD', 'Year': np.int64(2017)}"
AARTI DRUGS LTD,2017,DV-007,Numeric financial value validation,Handbook Rules,data_completeness,High,pass,Validation passed,{}
AARTI DRUGS LTD,2017,DV-008,Unexpected negative cash or inventory,Handbook Rules,data_quality,Medium,pass,Validation passed,"{'Cash & Bank': np.float64(4.17), 'Inventory': np.float64(209.63)}"
AARTI DRUGS LTD,2017,DV-012,Input schema validation,Handbook Rules,data_completeness,High,pass,Validation passed,{}
AARTI DRUGS LTD,2017,DV-015,Statistical outlier screening,Handbook Rules,analytical,Medium,pass,Validation passed,"{'Sales': np.float64(1195.17), 'robust_z': None}"
AARTI DRUGS LTD,2017,DV-018,Reporting date consistency,Handbook Rules,data_completeness,Medium,skipped,Unavailable metrics: ['Report Date'],{}
AARTI DRUGS LTD,2017,FA-001,Adverse profit margin,Financial Analytics Rules,financial_analytics,Medium,pass,Validation passed,{'Profit_Margin': np.float64(0.0684)}
AARTI DRUGS LTD,2017,FA-002,Adverse operating margin,Financial Analytics Rules,financial_analytics,Medium,pass,Validation passed,{'Operating_Margin': np.float64(0.0963)}
AARTI DRUGS LTD,2017,FA-003,Adverse return on equity,Financial Analytics Rules,financial_analytics,Medium,pass,Validation passed,{'ROE': np.float64(0.2044)}
AARTI DRUGS LTD,2017,FA-004,Adverse return on assets,Financial Analytics Rules,financial_analytics,Medium,pass,Validation passed,{'ROA': np.float64(0.0687)}
AARTI DRUGS LTD,2017,FA-005,Adverse debt-to-equity ratio,Financial Analytics Rules,financial_analytics,Medium,skipped,Unavailable metrics: ['Debt_Equity_Ratio'],{}
AARTI DRUGS LTD,2017,FA-006,Adverse debt ratio,Financial Analytics Rules,financial_analytics,Medium,skipped,Unavailable metrics: ['Debt_Ratio'],{}
AARTI DRUGS LTD,2017,FA-007,Adverse equity ratio,Financial Analytics Rules,financial_analytics,Medium,skipped,Unavailable metrics: ['Equity_Ratio'],{}
AARTI DRUGS LTD,2017,FA-008,Adverse interest coverage,Financial Analytics Rules,financial_analytics,Medium,skipped,Unavailable metrics: ['Interest_Coverage_Ratio'],{}
AARTI DRUGS LTD,2017,FA-009,Adverse borrowing dependency,Financial Analytics Rules,financial_analytics,Medium,skipped,Unavailable metrics: ['Borrowing_Dependency_Ratio'],{}
AARTI DRUGS LTD,2017,FA-010,Adverse working capital ratio,Financial Analytics Rules,financial_analytics,Medium,pass,Validation passed,"{'Working_Capital_Ratio': np.float64(0.0035), 'robust_z': None}"
AARTI DRUGS LTD,2017,FA-011,Adverse asset utilization,Financial Analytics Rules,financial_analytics,Medium,skipped,Unavailable metrics: ['Asset_Utilization_Ratio'],{}
AARTI DRUGS LTD,2017,FA-012,Adverse receivable ratio,Financial Analytics Rules,financial_analytics,Medium,pass,Validation passed,"{'Receivable_Ratio': np.float64(0.2483), 'robust_z': None}"
AARTI DRUGS LTD,2017,FA-013,Adverse inventory ratio,Financial Analytics Rules,financial_analytics,Medium,pass,Validation passed,"{'Inventory_Ratio': np.float64(0.1754), 'robust_z': None}"
AARTI DRUGS LTD,2017,FA-014,Adverse expense ratio,Financial Analytics Rules,financial_analytics,Medium,pass,Validation passed,"{'Expense_Ratio': np.float64(0.907), 'robust_z': None}"
AARTI DRUGS LTD,2017,FA-015,Adverse depreciation ratio,Financial Analytics Rules,financial_analytics,Medium,pass,Validation passed,"{'Depreciation_Ratio': np.float64(0.0323), 'robust_z': None}"
AARTI DRUGS LTD,2017,FA-016,Adverse operating-cash-flow ratio,Financial Analytics Rules,financial_analytics,Medium,pass,Validation passed,{'Operating_CF_Ratio': np.float64(0.1462)}
AARTI DRUGS LTD,2017,FA-017,Adverse cash-to-debt ratio,Financial Analytics Rules,financial_analytics,Medium,skipped,Unavailable metrics: ['Cash_To_Debt_Ratio'],{}
AARTI DRUGS LTD,2017,FA-018,Adverse cash margin,Financial Analytics Rules,financial_analytics,Medium,pass,Validation passed,{'Cash_Margin': np.float64(2.1363)}
AARTI DRUGS LTD,2017,FA-019,Adverse revenue growth,Financial Analytics Rules,financial_analytics,High,skipped,Unavailable metric values: ['Revenue_Growth'],{'Revenue_Growth': np.float64(nan)}
AARTI DRUGS LTD,2017,FA-020,Adverse profit growth,Financial Analytics Rules,financial_analytics,High,skipped,Unavailable metric values: ['Profit_Growth'],{'Profit_Growth': np.float64(nan)}
AARTI DRUGS LTD,2017,FA-021,Adverse borrowing growth,Financial Analytics Rules,financial_analytics,High,skipped,Unavailable metric values: ['Borrowing_Growth'],{'Borrowing_Growth': np.float64(nan)}
AARTI DRUGS LTD,2017,FA-022,Adverse asset growth,Financial Analytics Rules,financial_analytics,High,skipped,Unavailable metric values: ['Asset_Growth'],{'Asset_Growth': np.float64(nan)}
AARTI DRUGS LTD,2017,FA-023,Adverse reserve growth,Financial Analytics Rules,financial_analytics,High,skipped,Unavailable metric values: ['Reserve_Growth'],{'Reserve_Growth': np.float64(nan)}
AARTI DRUGS LTD,2017,FA-024,Adverse operating-cash-flow growth,Financial Analytics Rules,financial_analytics,High,skipped,Unavailable metric values: ['Operating_CF_Growth'],{'Operating_CF_Growth': np.float64(nan)}
AARTI DRUGS LTD,2017,FA-025,Adverse receivable growth,Financial Analytics Rules,financial_analytics,High,skipped,Unavailable metric values: ['Receivable_Growth'],{'Receivable_Growth': np.float64(nan)}
AARTI DRUGS LTD,2017,FA-026,Adverse inventory growth,Financial Analytics Rules,financial_analytics,High,skipped,Unavailable metric values: ['Inventory_Growth'],{'Inventory_Growth': np.float64(nan)}
AARTI DRUGS LTD,2017,FA-027,Adverse cash growth,Financial Analytics Rules,financial_analytics,High,skipped,Unavailable metric values: ['Cash_Growth'],{'Cash_Growth': np.float64(nan)}
