Unnamed: 0,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,SCREENER.IN,Unnamed: 13,Status,Rule_ID,Rule_Description,Violation_Details,Risk_Score
Narration,,,,,,Trailing,,Worst Case,pass,,,,0.0
Sales,,,,,,,,,pass,,,,0.0
Expenses,,,,,,,,,pass,,,,0.0
Operating Profit,,,,,,,,,pass,,,,0.0
Other Income,,,,,,,0.0,0,pass,,,,0.0
Depreciation,,,,,,,,,pass,,,,0.0
Interest,,,,,,,,,pass,,,,0.0
Profit before tax,,,,,,,,,pass,,,,0.0
Tax,,,,,,,,,pass,,,,0.0
Net profit,,,,,,,,,pass,,,,0.0
EPS,,,,,,,,,pass,,,,0.0
Price to earning,,,,,,,,,pass,,,,0.0
Price,,,,,,,,,pass,,,,0.0
RATIOS:,,,,,,,,,pass,,,,0.0
Dividend Payout,,,,,,,,,pass,,,,0.0
OPM,,,,,,,,,pass,,,,0.0
,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,,WORST,pass,,,,0.0
,Sales Growth,,,,,,,,pass,,,,0.0
,OPM,,,,,,,,pass,,,,0.0
,Price to Earning,,,,,,,,pass,,,,0.0
