Company,Year,Report Date,Sales,Raw Material Cost,Change in Inventory,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total,Net Block,Capital Work in Progress,Investments,Other Assets,Receivables,Inventory,Cash & Bank,No. of Equity Shares,Face value,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,Revenue,Net_Income,Net Profit,Cost_of_Revenue,Share_Capital,Retained_Earnings,Total_Debt,Long_Term_Debt,Cash_and_Equivalents,Cash and Bank,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Net_Cash_Change,Profit_Margin,Operating_Margin,gross_margin,ROE,ROA,Debt_Equity_Ratio,Debt_to_Equity,Debt_Ratio,Equity_Ratio,Interest_Coverage_Ratio,Interest_Coverage,Asset_Utilization_Ratio,Asset_Utilization,Expense_Ratio,Depreciation_Ratio,Operating_CF_Ratio,effective_tax_rate,inventory_turnover,receivables_turnover,dio,dso,Revenue_Growth,Profit_Growth,Operating_CF_Growth,Revenue_Volatility
TITAN COMPANY LTD,2017,2017-03-31,13260.83,9821.14,313.71,43.84,160.42,894.32,1211.16,279.76,-42.38,110.53,37.74,973.25,275.97,711.47,230.83,88.78,4143.6,1882.43,2292.76,8407.57,1188.72,152.07,430.73,6636.05,207.6,4925.74,778.93,887786160.0,1.0,1712.3,-953.15,-165.6,593.55,13260.83,711.47,711.47,9821.14,88.78,4143.6,1882.43,1882.43,778.93,778.93,1712.3,-953.15,-165.6,593.55,0.05365199614202128,0.0,0.25938723292584254,0.16810163548641663,,0.44476866443939345,0.44476866443939345,,,0.0,0.0,,,0.0,,,0.2835550988954534,2.6921498089627143,63.876830443159925,135.5793792696234,5.714121966724556,,,,
TITAN COMPANY LTD,2018,2018-03-31,16119.77,12664.83,978.61,45.32,124.83,906.26,1277.81,435.13,69.93,131.43,52.92,1529.78,427.87,1130.09,332.92,88.78,5001.1,1691.01,2740.15,9521.04,1473.81,43.37,35.99,7967.87,295.69,5924.84,617.91,887786160.0,1.0,-51.12,97.62,-252.45,-205.95,16119.77,1130.09,1130.09,12664.83,88.78,5001.1,1691.01,1691.01,617.91,617.91,-51.12,97.62,-252.45,-205.95,0.07010583897909213,0.0,0.2143293607787208,0.22202684542661122,,0.33222983645979864,0.33222983645979864,,,0.0,0.0,,,0.0,,,0.27969381218214384,2.7207097575630734,54.51577665798641,134.15616972202457,6.695309548461299,0.21559283996552248,0.5883874232223423,-1.0298545815569702,2021.575861005469
TITAN COMPANY LTD,2019,2019-03-31,19778.52,15170.66,776.41,48.51,193.28,1024.44,1454.32,669.93,178.48,162.84,52.54,1956.89,568.24,1404.15,443.9,88.78,5981.37,2392.98,3246.71,11709.84,1566.63,31.77,108.42,10003.02,420.45,7038.82,1066.48,887786160.0,1.0,1242.92,-796.61,-488.83,-42.52,19778.52,1404.15,1404.15,15170.66,88.78,5981.37,2392.98,2392.98,1066.48,1066.48,1242.92,-796.61,-488.83,-42.52,0.07099368405724998,0.0,0.23297294236373603,0.23132047807714803,,0.3942209006367223,0.3942209006367223,,,0.0,0.0,,,0.0,,,0.29037912197415283,2.8099198445193942,47.041312879058154,129.89694375514446,7.75913718518878,0.22697284142391605,0.24251165836349342,-25.313771517996873,3267.0137338299237
TITAN COMPANY LTD,2020,2020-03-31,21052.0,16033.0,878.0,52.0,215.0,1204.0,1470.0,493.0,153.0,348.0,166.0,2102.0,609.0,1501.0,356.0,89.0,6580.0,3562.0,3313.0,13544.0,2633.0,18.0,158.0,10735.0,312.0,8103.0,381.0,887786160.0,1.0,-348.0,235.0,-242.0,-355.0,21052.0,1501.0,1501.0,16033.0,89.0,6580.0,3562.0,3562.0,381.0,381.0,-348.0,235.0,-242.0,-355.0,0.07129963898916968,0.0,0.23840965228956867,0.22507122507122507,,0.5341130604288499,0.5341130604288499,,,0.0,0.0,,,0.0,,,0.28972407231208375,2.59805010489942,67.47435897435898,140.48997719931597,5.409462283868516,0.06438702188030243,0.06897411245237328,-1.279985839796608,2560.43927369895
TITAN COMPANY LTD,2021,2021-03-31,21644.0,16292.0,-122.0,37.0,141.0,1069.0,1029.0,1229.0,180.0,375.0,203.0,1327.0,353.0,973.0,356.0,89.0,7408.0,5638.0,3309.0,16444.0,2523.0,32.0,2824.0,11065.0,366.0,8408.0,560.0,887786160.0,1.0,4139.0,-2799.0,-1234.0,106.0,21644.0,973.0,973.0,16292.0,89.0,7408.0,5638.0,5638.0,560.0,560.0,4139.0,-2799.0,-1234.0,106.0,0.04495472186287193,0.0,0.24727407133616708,0.12978524743230627,,0.7520341469921302,0.7520341469921302,,,0.0,0.0,,,0.0,,,0.26601356443104746,2.5742150333016176,59.13661202185792,141.790796525596,6.172149325448161,0.028120843625308867,-0.3517654896735509,-12.89367816091954,953.2602775737602
TITAN COMPANY LTD,2022,2022-03-31,28799.0,26436.0,4795.0,45.0,183.0,1356.0,1697.0,533.0,177.0,399.0,218.0,2904.0,706.0,2173.0,667.5,89.0,9214.0,7275.0,4610.0,21188.0,2544.0,85.0,294.0,18265.0,565.0,13609.0,1573.0,887786160.0,1.0,-724.0,1165.0,-403.0,38.0,28799.0,2173.0,2173.0,26436.0,89.0,9214.0,7275.0,7275.0,1573.0,1573.0,-724.0,1165.0,-403.0,38.0,0.07545400881975069,0.0,0.08205146012014305,0.23358056540900785,,0.782005804579168,0.782005804579168,,,0.0,0.0,,,0.0,,,0.24311294765840222,2.1161731207289294,50.971681415929204,172.48116254036597,7.160838918017987,0.33057660321567184,1.2332990750256938,-1.1749214786180238,4312.00838743773
TITAN COMPANY LTD,2023,2023-03-31,40575.0,32589.0,2234.0,59.0,225.0,1656.0,2715.0,683.0,306.0,441.0,300.0,4447.0,1173.0,3250.0,890.0,89.0,11762.0,9367.0,5802.0,27020.0,2998.0,144.0,2515.0,21363.0,674.0,16584.0,1343.0,890000000.0,1.0,1370.0,-1814.0,457.0,13.0,40575.0,3250.0,3250.0,32589.0,89.0,11762.0,9367.0,9367.0,1343.0,1343.0,1370.0,-1814.0,457.0,13.0,0.08009858287122612,0.0,0.1968207024029575,0.2742384608893764,,0.7903974348156274,0.7903974348156274,,,0.0,0.0,,,0.0,,,0.26377333033505734,2.446635311143271,60.20029673590504,149.18447319778187,6.06309303758472,0.40890308691274013,0.49562816382880803,-2.8922651933701657,9559.035533636923
TITAN COMPANY LTD,2024,2024-03-31,51084.0,42103.0,2671.0,71.0,286.0,1875.0,3249.0,879.0,534.0,584.0,619.0,4623.0,1127.0,3496.0,979.0,89.0,9304.0,15528.0,6626.0,31547.0,3709.0,97.0,2345.0,25396.0,1018.0,19051.0,1526.0,890000000.0,1.0,1695.0,-189.0,-1329.0,177.0,51084.0,3496.0,3496.0,42103.0,89.0,9304.0,15528.0,15528.0,1526.0,1526.0,1695.0,-189.0,-1329.0,177.0,0.06843630099444054,0.0,0.17580847232010022,0.37219205791546894,,1.653145959757266,1.653145959757266,,,0.0,0.0,,,0.0,,,0.24378109452736318,2.6814340454569314,50.18074656188605,136.12119254561114,7.27370605277582,0.25900184842883545,0.07569230769230773,0.23722627737226287,11148.501259511673
TITAN COMPANY LTD,2025,2025-03-31,60456.0,55271.0,7815.0,78.0,326.0,2164.0,3494.0,1244.0,487.0,693.0,953.0,4535.0,1198.0,3337.0,979.0,89.0,11535.0,20777.0,8244.0,40645.0,4062.0,105.0,1988.0,34490.0,1068.0,28184.0,1584.0,890000000.0,1.0,-541.0,546.0,-7.0,-2.0,60456.0,3337.0,3337.0,55271.0,89.0,11535.0,20777.0,20777.0,1584.0,1584.0,-541.0,546.0,-7.0,-2.0,0.055197168188434564,0.0,0.08576485377795422,0.2870784583620096,,1.7874225739848588,1.7874225739848588,,,0.0,0.0,,,0.0,,,0.264167585446527,2.1450468350837353,56.60674157303371,170.15945481010985,6.447995236204843,0.18346253229974163,-0.04548054919908462,-1.3191740412979351,9945.917303094775
TITAN COMPANY LTD,2026,2026-03-31,87584.0,80243.0,9936.0,87.0,375.0,2692.0,4185.0,1581.0,450.0,826.0,1180.0,6801.0,1728.0,5073.0,1335.0,89.0,15614.0,30621.0,14237.0,60561.0,6878.0,163.0,3506.0,50014.0,916.0,42743.0,1917.0,890000000.0,1.0,5590.0,-2965.0,-2159.0,466.0,87584.0,5073.0,5073.0,80243.0,89.0,15614.0,30621.0,30621.0,1917.0,1917.0,5590.0,-2965.0,-2159.0,466.0,0.05792153818048959,0.0,0.08381667884545123,0.3230592880341336,,1.9500095523148444,1.9500095523148444,,,0.0,0.0,,,0.0,,,0.25408028231142477,2.049084060547926,95.61572052401746,178.12836819510414,3.8173639020825725,0.448723038242689,0.5202277494755769,-11.33271719038817,18956.145740454027
