Company,Year,Passed Rules,Failed Rules,Skipped Rules,Critical Failures,High Failures,Medium Failures,Low Failures,Obtained Score,Maximum Score,Risk Score,Risk Level
ZYDUS WELLNESS LTD,2017,18,1,23,0,1,0,0,7.7,214.0,3.6,Low
ZYDUS WELLNESS LTD,2018,21,5,16,2,3,0,0,53.9,214.0,25.19,Moderate
ZYDUS WELLNESS LTD,2019,27,5,10,2,1,2,0,45.7,214.0,21.36,Moderate
ZYDUS WELLNESS LTD,2020,26,6,10,2,1,3,0,50.7,214.0,23.69,Moderate
ZYDUS WELLNESS LTD,2021,25,7,10,2,2,3,0,59.8,214.0,27.94,Moderate
ZYDUS WELLNESS LTD,2022,26,6,10,2,2,2,0,54.8,214.0,25.61,Moderate
ZYDUS WELLNESS LTD,2023,27,5,10,0,2,3,0,31.8,214.0,14.86,Low
ZYDUS WELLNESS LTD,2024,26,6,10,2,1,3,0,50.7,214.0,23.69,Moderate
ZYDUS WELLNESS LTD,2025,27,5,10,2,1,2,0,45.7,214.0,21.36,Moderate
ZYDUS WELLNESS LTD,2026,27,5,10,2,2,1,0,49.8,214.0,23.27,Moderate
