Company,Year,Sales,Raw Material Cost,Change in Inventory,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Net Block,Capital Work in Progress,Investments,Other Assets,Total Assets,Receivables,Inventory,Cash & Bank,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,Expenses,Operating Profit,Profit_Margin,Operating_Margin,ROE,ROA,Debt_to_Equity,Interest_Coverage,Working_Capital_Ratio,Asset_Utilization,Receivable_Ratio,Inventory_Ratio,Expense_Ratio,Depreciation_Ratio,Operating_CF_Ratio,Cash_to_Debt,Cash_Margin,Revenue_Growth,Profit_Growth,Borrowing_Growth,Asset_Growth,Reserve_Growth,Operating_CF_Growth,Receivable_Growth,Inventory_Growth,Cash_Growth,Revenue_CAGR_3Y,Profit_CAGR_3Y,Revenue_Volatility,Profit_Volatility,Operating_CF_Volatility,Revenue,Net_Income,Net Profit,Operating_Income,Cost_of_Revenue,Total_Assets,Total_Liabilities,Share_Capital,Retained_Earnings,Total_Debt,Long_Term_Debt,Cash_and_Equivalents,Cash and Bank,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Net_Cash_Change,Total Expenses,gross_margin,Debt_Equity_Ratio,Debt_Ratio,Equity_Ratio,Interest_Coverage_Ratio,Asset_Utilization_Ratio,effective_tax_rate,inventory_turnover,receivables_turnover,dio,dso
AARTI DRUGS LTD,2017,1195.17,765.89,0.43,59.42,84.41,52.87,36.82,5.7,4.0,38.46,40.02,116.01,34.21,81.8,2.39,23.86,376.28,479.5,311.4,1191.04,581.09,14.28,11.94,583.73,1191.04,296.81,209.63,4.17,174.75,-106.98,-68.23,-0.45,1084.0199999999998,115.15000000000032,0.06844214630554649,0.09634612649246577,0.20442845004248514,0.0686794734013971,1.1983305842954965,2.8773113443278437,0.0035,1.0034675577646428,0.2483,0.1754,0.9070006777278543,0.03229110693175712,0.14672051316496507,0.0087,2.1363,,,,,,,,,,0.0,0.0,,,,1195.17,81.8,81.8,115.15000000000032,765.89,1191.04,1191.04,23.86,376.28,479.5,479.5,4.17,4.17,174.75,-106.98,-68.23,-0.45,1084.0199999999998,0.3591790289247555,1.1983305842954965,0.4025893336915637,0.335958490059108,2.8773113443278437,1.0034675577646428,0.29488837169209553,5.701330916376473,4.026717428658064,64.02013939439577,90.64455265778089
AARTI DRUGS LTD,2018,1243.63,821.92,54.87,71.42,99.3,57.98,41.76,4.24,1.05,40.06,38.36,124.51,42.2,82.31,2.36,23.58,431.85,546.25,387.74,1389.42,602.39,28.45,10.76,747.82,1389.42,374.94,278.21,4.27,69.77,-73.54,3.92,0.15,1229.91,14.770000000000255,0.06618528018783722,0.011876522759985087,0.18073029883846037,0.05924054641505088,1.1994159365874009,0.3850364963503716,0.0031,0.895071324725425,0.3015,0.2237,0.9889677798058908,0.02883217457644197,0.0502151977083963,0.0078,0.8476,0.04054653312917833,0.006234718826406027,0.1392,0.1666,0.1477,-0.6007439198855509,0.2632,0.3271,0.024,0.0,0.0,34.26639461630012,0.3606,74.2321,1243.63,82.31,82.31,14.770000000000255,821.92,1389.42,1389.42,23.58,431.85,546.25,546.25,4.27,4.27,69.77,-73.54,3.92,0.15,1229.91,0.33909603338613586,1.1994159365874009,0.39314965957018033,0.327784255300773,0.3850364963503716,0.895071324725425,0.3389286001124408,4.4701125049423105,3.3168773670453944,81.65342585817324,110.04326045528009
AARTI DRUGS LTD,2019,1560.94,1026.31,-16.82,84.39,110.19,60.96,48.25,3.1,6.18,42.56,43.51,131.03,41.27,89.75,2.36,23.58,519.86,507.21,404.84,1455.49,624.86,32.75,12.44,785.44,1455.49,458.54,246.61,5.55,143.09,-61.67,-80.07,1.35,1402.45,164.67000000000002,0.0574974054095609,0.1054941253347342,0.16515162667451788,0.061663082535778325,0.9333321065803031,3.7846472075384976,0.0038,1.072449827893012,0.2938,0.158,0.8984650274834395,0.02924101161808051,0.09831053459659633,0.0109,1.5943,0.2551482354076373,0.09038998906572715,-0.0715,0.0476,0.2038,1.0508814676795186,0.223,-0.1136,0.2998,0.0,0.0,198.67129494049547,4.45,53.8501,1560.94,89.75,89.75,164.67000000000002,1026.31,1455.49,1455.49,23.58,519.86,507.21,507.21,5.55,5.55,143.09,-61.67,-80.07,1.35,1402.45,0.3425051571488975,0.9333321065803031,0.3484805804230877,0.37337254120605434,3.7846472075384976,1.072449827893012,0.314966038311837,6.329589229958233,3.404152309504078,57.66566940433329,107.22199443924815
AARTI DRUGS LTD,2020,1806.09,1210.6,51.28,103.83,129.04,69.4,72.11,6.88,5.95,48.75,37.42,185.29,43.89,141.4,4.66,23.3,629.19,388.64,535.37,1576.5,643.81,12.21,13.36,907.12,1576.5,488.63,325.4,7.64,250.74,-33.21,-215.41,2.13,1729.31,82.72999999999998,0.07829067211490015,0.04580613369211943,0.2167083020429432,0.08969235648588646,0.5956259866051586,2.210849812934259,0.0048,1.1456327307326355,0.2705,0.1802,0.9574882757780621,0.03092293054234063,0.15904852521408183,0.0196,1.7733,0.1570528015170345,0.5754874651810586,-0.2338,0.0831,0.2103,0.7523237123488713,0.0656,0.3195,0.3766,0.1475,0.2001,282.0004167254605,32.1836,91.0261,1806.09,141.4,141.4,82.72999999999998,1210.6,1576.5,1576.5,23.3,629.19,388.64,388.64,7.64,7.64,250.74,-33.21,-215.41,2.13,1729.31,0.32971225132745324,0.5956259866051586,0.2465207738661592,0.41388518870916585,2.210849812934259,1.1456327307326355,0.23687193048734417,5.550368776889981,3.696232323025602,65.76139616519664,98.74920408174566
AARTI DRUGS LTD,2021,2154.78,1310.66,11.72,98.2,147.41,80.56,83.75,5.53,4.74,49.88,26.23,369.02,88.61,280.41,23.3,93.2,820.22,350.76,501.83,1766.01,665.4,19.26,17.3,1064.05,1766.01,555.23,415.0,9.78,154.95,-71.78,-81.13,2.04,1813.9400000000005,345.5799999999999,0.13013393478684598,0.1603783216848123,0.3069891178209367,0.15878166035299915,0.38400735696612726,13.174990468928705,0.0055,1.2201403163062499,0.2577,0.1926,0.8418214388475855,0.02824446067689311,0.08774016002174392,0.0278,0.5526,0.19306346859791046,0.9830975954738332,-0.0975,0.1202,0.3036,-0.3820291935869826,0.1363,0.2754,0.2801,0.2011,0.5047,298.42061596567623,98.6093,59.0267,2154.78,280.41,280.41,345.5799999999999,1310.66,1766.01,1766.01,93.2,820.22,350.76,350.76,9.78,9.78,154.95,-71.78,-81.13,2.04,1813.9400000000005,0.3917430085669999,0.38400735696612726,0.19861722187303582,0.5172224392840358,13.174990468928705,1.2201403163062499,0.2401224865860929,5.192240963855422,3.8808781946220487,70.29719971412395,94.05087758379045
AARTI DRUGS LTD,2022,2488.65,1750.06,86.08,128.34,181.25,82.77,90.77,8.95,11.32,50.05,23.91,269.95,64.96,205.04,9.26,92.6,943.76,542.82,628.78,2207.96,689.93,76.74,19.48,1421.81,2207.96,749.9,525.94,22.33,70.41,-149.64,92.03,12.8,2402.18,97.79000000000023,0.0823900508307717,0.039294396560384234,0.19784630823266047,0.0928640011594413,0.5237755220193756,4.089920535340871,0.0101,1.1271263972173409,0.3013,0.2113,0.9652542543145881,0.022667983115636153,0.03188916465878005,0.0411,0.3434,0.15494389218388882,-0.2687849934025178,0.5476,0.2503,0.1506,-0.545595353339787,0.3506,0.2673,1.2832,0.1682,0.317,341.30681373216146,69.5874,90.2235,2488.65,205.04,205.04,97.79000000000023,1750.06,2207.96,2207.96,92.6,943.76,542.82,542.82,22.33,22.33,70.41,-149.64,92.03,12.8,2402.18,0.29678339662065784,0.5237755220193756,0.2458468450515408,0.4693744451892244,4.089920535340871,1.1271263972173409,0.240637155028709,4.731813514849602,3.3186424856647556,77.13744399574067,109.98473067727481
AARTI DRUGS LTD,2023,2716.05,1863.71,1.75,156.1,192.85,92.26,92.83,10.59,2.19,50.32,37.14,224.19,57.83,166.31,9.26,92.6,1099.83,608.91,620.06,2421.4,676.23,210.35,18.8,1516.02,2421.4,864.84,516.29,8.96,133.32,-163.97,16.54,-14.11,2497.55,220.69000000000045,0.06123230426538539,0.0812540269877213,0.1394714993752254,0.06868340629387958,0.5106463272477211,5.942110931610136,0.0037,1.1216858016023787,0.3184,0.1901,0.9195522910108429,0.020781366151813,0.05505905674403237,0.0147,0.8016,0.09137484178168886,-0.1888899726882559,0.1218,0.0967,0.1654,0.8934810396250532,0.1533,-0.0183,-0.5987,0.1457,0.0556,282.313050176573,58.0222,43.9176,2716.05,166.31,166.31,220.69000000000045,1863.71,2421.4,2421.4,92.6,1099.83,608.91,608.91,8.96,8.96,133.32,-163.97,16.54,-14.11,2497.55,0.3138160195872683,0.5106463272477211,0.2514702238374494,0.49245477822747163,5.942110931610136,1.1216858016023787,0.25795084526517686,5.260706192256291,3.140523102539198,69.3823199131091,116.22267631302812
AARTI DRUGS LTD,2024,2528.58,1626.1,-25.51,154.31,218.85,102.48,69.02,11.29,3.85,51.45,37.89,235.53,63.93,171.42,9.19,91.94,1189.61,564.28,586.54,2432.37,811.09,260.87,19.97,1340.44,2432.37,704.55,485.89,9.43,358.92,-223.65,-136.03,-0.76,2245.88,286.5500000000003,0.06779299053223548,0.11332447460630089,0.1337599001209473,0.07047447551153813,0.4403105614295189,7.562681446291905,0.0039,1.039554015219724,0.2786,0.1922,0.8881981191024212,0.02115220957337905,0.14755978736787578,0.0167,2.0938,-0.0690230297674933,0.030725753111658927,-0.0733,0.0045,0.0816,1.6921692169216924,-0.1853,-0.0589,0.0525,0.0548,-0.1513,121.41537917413999,21.0413,151.7075,2528.58,171.42,171.42,286.5500000000003,1626.1,2432.37,2432.37,91.94,1189.61,564.28,564.28,9.43,9.43,358.92,-223.65,-136.03,-0.76,2245.88,0.35691178447982663,0.4403105614295189,0.2319877321295691,0.5268729675172774,7.562681446291905,1.039554015219724,0.27143039103298944,5.204017370186667,3.5889291036832023,70.13812100071978,101.70164677407872
AARTI DRUGS LTD,2025,2387.03,1496.08,-19.46,152.01,223.08,112.27,80.82,13.08,16.36,55.78,39.04,211.77,43.67,168.16,9.13,91.27,1277.73,615.08,590.6,2574.68,866.11,330.18,22.41,1355.98,2574.68,751.18,472.93,7.56,244.58,-164.63,-82.12,-2.17,2152.7,250.6900000000004,0.07044737602795105,0.10502172155356253,0.12283418553688824,0.06531297093231003,0.449291453615778,6.421362704918043,0.0029,0.9271171563068034,0.3147,0.1981,0.9018319836784622,0.021664828250501034,0.09499432939239053,0.0123,1.4544,-0.05598003622586578,-0.01901761754754394,0.09,0.0585,0.0741,-0.3185668115457484,0.0662,-0.0267,-0.1983,-0.0138,-0.064,165.04320838293697,2.5872,112.8035,2387.03,168.16,168.16,250.6900000000004,1496.08,2574.68,2574.68,91.27,1277.73,615.08,615.08,7.56,7.56,244.58,-164.63,-82.12,-2.17,2152.7,0.3732462516181197,0.449291453615778,0.2388957074277192,0.5317165628349931,6.421362704918043,0.9271171563068034,0.20621428908721726,5.047322013828685,3.177707074203254,72.31557626003863,114.86269548350877
AARTI DRUGS LTD,2026,2565.31,1619.09,0.37,,,129.32,,508.08,2.39,66.97,33.71,210.9,15.96,194.92,18.25,91.27,1457.59,576.64,689.76,2815.26,1086.4,213.81,27.31,1487.74,2815.26,829.87,490.78,8.81,253.54,-173.41,-77.44,2.69,2357.54,210.16,0.0759830195960722,0.08192382207218621,0.1258473974406983,0.06923694436748293,0.37229962682230805,6.234351824384455,0.0031,0.9112160155722738,0.3235,0.1913,0.9190078392085167,0.023788211390777404,0.09005917748271917,0.0153,1.3007,0.07468695408101267,0.15913415794481445,-0.0625,0.0934,0.1408,0.03663423010875788,0.1048,0.0377,0.1653,-0.0189,0.0543,94.13576525423412,14.6001,63.5857,2565.31,194.92,194.92,210.16,1619.09,2815.26,2815.26,91.27,1457.59,576.64,576.64,8.81,8.81,253.54,-173.41,-77.44,2.69,2357.54,0.3688521075425582,0.37229962682230805,0.20482655243210215,0.5501658816592427,6.234351824384455,0.9112160155722738,0.07567567567567568,5.22700599046416,3.091219106607059,69.82965021771247,118.07639232685328
