Company,Year,Report Date,Sales,Raw Material Cost,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total,Net Block,Capital Work in Progress,Investments,Other Assets,Receivables,Inventory,Cash & Bank,No. of Equity Shares,Face value,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,Revenue,Net_Income,Net Profit,Cost_of_Revenue,Share_Capital,Retained_Earnings,Total_Debt,Long_Term_Debt,Cash_and_Equivalents,Cash and Bank,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Net_Cash_Change,Profit_Margin,Operating_Margin,gross_margin,ROE,ROA,Debt_Equity_Ratio,Debt_to_Equity,Debt_Ratio,Equity_Ratio,Interest_Coverage_Ratio,Interest_Coverage,Asset_Utilization_Ratio,Asset_Utilization,Expense_Ratio,Depreciation_Ratio,Operating_CF_Ratio,effective_tax_rate,inventory_turnover,receivables_turnover,dio,dso,Revenue_Growth,Profit_Growth,Operating_CF_Growth,Revenue_Volatility,Total Liabilities,Total Assets,Expenses,Operating Profit,Working_Capital_Ratio,Receivable_Ratio,Inventory_Ratio,Cash_to_Debt,Cash_Margin,Borrowing_Growth,Asset_Growth,Reserve_Growth,Receivable_Growth,Inventory_Growth,Cash_Growth,Revenue_CAGR_3Y,Profit_CAGR_3Y,Profit_Volatility,Operating_CF_Volatility
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2017,2017-03-31,8439.35,111.02,397.42,1708.71,384.04,251.68,168.25,1036.57,1160.19,1115.74,4178.87,286.63,3911.52,269.22,414.19,17111.79,22214.26,3629.13,43369.37,21053.5,4513.97,1161.36,16640.54,2692.99,657.09,1976.8,2070951761.0,2.0,4062.57,-2629.15,-1324.71,108.71,8439.35,3911.52,3911.52,111.02,414.19,17111.79,22214.26,22214.26,1976.8,1976.8,4062.57,-2629.15,-1324.71,108.71,0.46348593197343396,0.0,0.9868449584387423,0.2231840958394338,,1.267504584622372,1.267504584622372,,,0.0,0.0,,,0.0,,,0.06859031269218713,12.843522196350577,3.1338215143762143,28.418995538755944,116.47121520022274,,,,,43369.369999999995,48696.25,5297.05,3142.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2018,2018-03-31,11322.96,129.87,419.41,2736.3,448.15,320.68,111.88,844.49,1188.37,1578.66,5234.13,1544.18,3673.62,414.19,414.19,20488.76,22370.04,3959.73,47232.72,22670.01,4545.46,1078.92,18938.33,4309.91,520.29,2967.55,2070951761.0,2.0,5608.14,-3845.84,-1889.03,-126.73,11322.96,3673.62,3673.62,129.87,414.19,20488.76,22370.04,22370.04,2967.55,2967.55,5608.14,-3845.84,-1889.03,-126.73,0.32443989910765386,0.0,0.9885303842811419,0.1757464855439065,,1.070185787173581,1.070185787173581,,,0.0,0.0,,,0.0,,,0.2950213311476788,21.76278613849968,2.6271917511038514,16.771749613175356,138.93161770420454,0.3416862673073162,-0.060820346054730634,0.3804414447012605,2039.02018529734,47232.72,55030.47000000001,6933.32,4389.639999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2019,2019-03-31,10925.44,140.43,565.51,2116.21,530.55,385.67,591.43,1289.25,1373.48,1385.19,5126.22,1081.47,3990.22,41.42,414.19,23958.13,27711.54,4227.57,56311.43,28121.42,4483.48,782.3,22924.23,2789.66,806.68,5967.3,2070951761.0,2.0,6029.4,-4368.03,2313.34,3974.71,10925.44,3990.22,3990.22,140.43,414.19,23958.13,27711.54,27711.54,5967.3,5967.3,6029.4,-4368.03,2313.34,3974.71,0.36522281940132384,0.0,0.9871465130923789,0.1637193340642171,,1.137008704957099,1.137008704957099,,,0.0,0.0,,,0.0,,,0.21096831583505973,13.543710021321964,3.916405583476123,26.949779596977326,93.19770187745297,-0.03510742773974285,0.08618202209264969,0.07511581379922738,1562.789827551997,56311.43,65875.06999999999,7088.47,3836.9700000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2020,2020-03-31,11873.07,,767.98,2398.83,547.66,415.23,1796.26,1927.73,1680.28,1950.64,4243.92,459.39,3763.13,650.16,406.35,25050.61,30242.32,6217.42,61916.7,32714.51,3216.33,1178.0,24807.86,3202.14,288.28,7313.86,2031751761.0,2.0,7401.81,-748.91,-4255.63,2397.27,11873.07,3763.13,3763.13,,406.35,25050.61,30242.32,30242.32,7313.86,7313.86,7401.81,-748.91,-4255.63,2397.27,0.316946670069325,0.0,,0.14782322791095245,,1.1879784546151622,1.1879784546151622,,,0.0,0.0,,,0.0,,,0.10824662104846462,41.18589565700014,3.707854747137852,8.862257192116276,98.4396706159401,0.08673609483920086,-0.05691164898176038,0.22761966364812425,475.85813351600206,61916.7,72720.98,9556.88,2316.1900000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2021,2021-03-31,12549.6,,764.75,2564.75,616.6,473.76,-558.22,1966.68,2107.34,2255.29,6292.01,1243.27,4994.3,1015.88,406.35,30035.38,35855.33,8284.87,74581.93,48290.96,3697.13,2236.15,20357.69,2925.71,991.85,4700.78,2031751761.0,2.0,7555.78,-14064.12,3513.85,-2994.49,12549.6,4994.3,4994.3,,406.35,30035.38,35855.33,35855.33,4700.78,4700.78,7555.78,-14064.12,3513.85,-2994.49,0.3979648753745139,0.0,,0.16406097813757628,,1.1778348339598308,1.1778348339598308,,,0.0,0.0,,,0.0,,,0.19759504514455634,12.652719665271967,4.289420345830584,28.847552910052908,85.09308264805253,0.056980208151725,0.32716648109419544,0.020801668781014193,815.8422195702624,74581.93,83200.27,8224.27,4325.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2022,2022-03-31,17118.79,,995.74,3950.79,781.48,805.48,1057.34,1832.4,3099.3,2543.92,5717.14,763.96,4886.03,1056.18,422.47,41399.22,47934.75,8571.55,98327.99,62552.92,4022.9,3160.74,28591.43,2521.14,395.64,10667.41,2112373230.0,2.0,10420.14,-5493.13,-585.77,4341.24,17118.79,4886.03,4886.03,,422.47,41399.22,47934.75,47934.75,10667.41,10667.41,10420.14,-5493.13,-585.77,4341.24,0.2854191213280845,0.0,,0.11683004680107378,,1.1461696072062129,1.1461696072062129,,,0.0,0.0,,,0.0,,,0.1336262536862837,43.26860277019513,6.79009892350286,8.435677988923281,53.75473967494197,0.3640904889398866,-0.021678713733656485,0.3790952092305493,2853.4414431057326,98327.99,111912.18,13234.05,3884.7400000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2023,2023-03-31,20851.91,,1025.43,4742.27,1180.01,821.17,2135.9,327.11,3424.71,2362.64,5486.89,96.04,5308.85,1080.08,432.03,44957.36,53434.22,13739.58,112563.19,72223.73,6636.77,7431.65,26271.04,3957.07,451.97,4334.31,2160138945.0,2.0,11899.5,-16715.93,-2733.8,-7550.23,20851.91,5308.85,5308.85,,432.03,44957.36,53434.22,53434.22,4334.31,4334.31,11899.5,-16715.93,-2733.8,-7550.23,0.2545977802513055,0.0,,0.1169623561805964,,1.1772403198192354,1.1772403198192354,,,0.0,0.0,,,0.0,,,0.01750354025686682,46.1356063455539,5.269532760350461,7.911459909427962,69.26610320109765,0.21807148752920025,0.08653651328379075,0.1419712211160311,4158.165331140643,112563.19,121306.54000000001,15692.130000000001,5159.779999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2024,2024-03-31,26710.56,,1228.57,6048.03,1898.35,1421.07,525.13,670.56,3888.46,2732.94,9638.57,1534.58,8110.64,1296.09,432.03,52346.21,49470.24,14750.72,116999.2,75147.81,10936.09,4288.66,26626.64,3666.94,437.51,7631.88,2160138945.0,2.0,15017.58,-6946.55,-7800.11,270.92,26710.56,8110.64,8110.64,,432.03,52346.21,49470.24,49470.24,7631.88,7631.88,15017.58,-6946.55,-7800.11,270.92,0.30364919342761815,0.0,,0.15367393835035045,,0.9373226541847549,0.9373226541847549,,,0.0,0.0,,,0.0,,,0.1592124142896716,61.05131311284314,7.284155181159223,5.9785773866216205,50.10876222737374,0.28096466942356857,0.5277583657477607,0.26203453926635567,4834.977016315585,116999.2,128735.53,17742.549999999996,8968.010000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2025,2025-03-31,30475.33,,1267.35,7003.68,2011.44,1424.27,347.22,1799.85,4378.93,2812.67,13029.62,1968.36,11092.31,1512.1,432.03,61836.83,51620.73,19553.06,133442.65,89616.32,11706.1,4659.45,27460.78,4432.36,521.8,6605.97,2160138945.0,2.0,17226.28,-9787.53,-6915.52,523.23,30475.33,11092.31,11092.31,,432.03,61836.83,51620.73,51620.73,6605.97,6605.97,17226.28,-9787.53,-6915.52,523.23,0.3639766985295975,0.0,,0.1781357487514626,,0.8289975117578835,0.8289975117578835,,,0.0,0.0,,,0.0,,,0.15106810482577387,58.40423533921044,6.875644126379627,6.249546764546929,53.085935410707606,0.1409468764413775,0.36762450312182504,0.1470742955922324,4849.527218739983,133442.65,145002.78,19245.56,11229.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2026,2026-03-31,38735.77,,1541.35,9991.53,2357.69,1378.39,598.62,2151.73,5517.38,4653.98,14848.56,2066.53,12806.21,1727.96,460.79,95497.98,63565.52,23574.24,183098.53,131652.5,12689.05,5448.65,33308.33,6382.54,685.0,8483.51,2303959098.0,2.0,20356.25,-13190.7,-5483.4,1682.15,38735.77,12806.21,12806.21,,460.79,95497.98,63565.52,63565.52,8483.51,8483.51,20356.25,-13190.7,-5483.4,1682.15,0.33060424512020803,0.0,,0.133455337120307,,0.6624253312125614,0.6624253312125614,,,0.0,0.0,,,0.0,,,0.13917376499808737,56.54856934306569,6.069021110717676,6.454628370624878,60.14149454109213,0.2710533405216611,0.1545124505175206,0.1816973833003992,6151.070878183182,183098.52999999997,198649.58,26038.940000000002,12696.829999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
