Company,Year,Report Date,Sales,Raw Material Cost,Change in Inventory,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total,Net Block,Capital Work in Progress,Investments,Other Assets,Receivables,Inventory,Cash & Bank,No. of Equity Shares,Face value,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,Dividend Amount,Revenue,Net_Income,Net Profit,Cost_of_Revenue,Share_Capital,Retained_Earnings,Total_Debt,Long_Term_Debt,Cash_and_Equivalents,Cash and Bank,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Net_Cash_Change,Profit_Margin,Operating_Margin,gross_margin,ROE,ROA,Debt_Equity_Ratio,Debt_to_Equity,Debt_Ratio,Equity_Ratio,Interest_Coverage_Ratio,Interest_Coverage,Asset_Utilization_Ratio,Asset_Utilization,Expense_Ratio,Depreciation_Ratio,Operating_CF_Ratio,effective_tax_rate,inventory_turnover,receivables_turnover,dio,dso,Revenue_Growth,Profit_Growth,Operating_CF_Growth,Revenue_Volatility,Total Liabilities,Total Assets,Expenses,Operating Profit,Working_Capital_Ratio,Receivable_Ratio,Inventory_Ratio,Cash_to_Debt,Cash_Margin,Borrowing_Growth,Asset_Growth,Reserve_Growth,Receivable_Growth,Inventory_Growth,Cash_Growth,Revenue_CAGR_3Y,Profit_CAGR_3Y,Profit_Volatility,Operating_CF_Volatility
ANDHRA PAPER LTD,2017,2017-03-31,1172.36,487.23,-23.94,86.46,196.84,139.22,51.14,17.46,-22.22,70.03,33.59,44.23,11.83,32.4,39.77,438.18,359.45,317.23,1154.63,798.28,2.51,10.11,343.73,67.5,183.84,7.07,39770039.0,10.0,171.82,-29.47,-145.2,-2.85,,1172.36,32.4,32.4,487.23,39.77,438.18,359.45,359.45,7.07,7.07,171.82,-29.47,-145.2,-2.85,0.02763656214814562,0.0,0.584402401992562,0.06778951773198033,,0.7520661157024794,0.7520661157024794,,,0.0,0.0,,,0.0,,,0.2674655211394981,6.3770670147954736,17.368296296296293,57.23634378518545,21.01530246681907,,,,,1154.63,1413.04,1081.97,90.38999999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PAPER LTD,2018,2018-03-31,1264.0,482.39,-16.51,93.7,225.13,152.2,51.47,16.96,-7.28,65.81,26.09,126.46,43.39,83.07,39.77,524.24,207.52,325.11,1096.64,741.66,4.19,14.65,336.14,69.57,154.78,16.66,39770039.0,10.0,215.1,-31.28,-174.58,9.24,,1264.0,83.07,83.07,482.39,39.77,524.24,207.52,207.52,16.66,16.66,215.1,-31.28,-174.58,9.24,0.06571993670886075,0.0,0.6183623417721519,0.14728462261307423,,0.3679367387103066,0.3679367387103066,,,0.0,0.0,,,0.0,,,0.34311244662343826,8.16642977128828,18.168750898375738,44.69517405063291,20.08943829113924,0.0781671159029651,1.5638888888888887,0.25189151437550916,64.79926542793537,1096.6399999999999,1337.6499999999999,1113.75,150.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PAPER LTD,2019,2019-03-31,1427.33,479.73,1.2,88.27,225.24,156.26,79.43,19.28,7.42,67.87,8.54,311.33,111.25,200.08,39.77,724.04,14.8,407.48,1186.09,707.45,8.43,15.58,454.63,73.56,157.0,67.06,39770039.0,10.0,310.03,-110.07,-201.32,-1.36,,1427.33,200.08,200.08,479.73,39.77,724.04,14.8,14.8,67.06,67.06,310.03,-110.07,-201.32,-1.36,0.1401778145208186,0.0,0.6638969264290668,0.2619499613778296,,0.01937654652335005,0.01937654652335005,,,0.0,0.0,,,0.0,,,0.3573378729964989,9.091273885350319,19.403616095704187,40.148388949997546,18.810926695298214,0.12921677215189864,1.408571084627423,0.44132961413296123,129.15383553473492,1186.09,1483.71,1124.62,302.71000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PAPER LTD,2020,2020-03-31,1269.7,437.92,59.53,97.77,237.46,159.19,76.06,16.61,12.8,75.9,5.32,235.8,22.88,212.92,39.77,936.08,9.33,335.96,1321.14,680.39,1.6,44.29,594.86,40.78,223.41,170.9,39770039.0,10.0,177.15,-166.93,-10.61,-0.39,,1269.7,212.92,212.92,437.92,39.77,936.08,9.33,9.33,170.9,170.9,177.15,-166.93,-10.61,-0.39,0.16769315586358982,0.0,0.655099629833819,0.21818927089204282,,0.009560895629451248,0.009560895629451248,,,0.0,0.0,,,0.0,,,0.09703138252756573,5.683272906315743,31.13536047081903,64.22355674568794,11.72300543435457,-0.11043696972669237,0.06417433026789277,-0.4286036835144985,92.69699365855048,1321.14,1756.23,1106.23,163.47000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PAPER LTD,2021,2021-03-31,886.75,303.32,-52.59,91.32,157.86,143.42,62.14,15.02,10.62,73.38,4.51,-6.19,-1.6,-4.6,39.77,935.45,44.2,313.17,1332.59,618.63,8.99,219.26,485.71,75.6,164.31,81.57,39770039.0,10.0,103.8,-113.52,10.75,1.03,19.88,886.75,-4.6,-4.6,303.32,39.77,935.45,44.2,44.2,81.57,81.57,103.8,-113.52,10.75,1.03,-0.005187482379475613,0.0,0.6579419227516211,-0.004716884395315929,,0.045323106581079145,0.045323106581079145,,,0.0,0.0,,,0.0,,,0.25848142164781907,5.396810906213864,11.729497354497356,67.6325345362278,31.118127995489143,-0.30160667874301017,-1.0216043584444863,-0.4140558848433531,278.0061917176186,1332.5900000000001,1654.0699999999997,850.9699999999999,35.780000000000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PAPER LTD,2022,2022-03-31,1380.23,646.27,-18.14,126.46,93.94,157.55,98.86,15.0,41.81,72.01,5.45,188.36,48.62,139.73,39.77,1054.32,59.17,344.66,1497.92,585.01,7.68,382.69,522.54,102.55,145.09,54.81,39770039.0,10.0,202.35,-181.36,-11.74,9.24,29.83,1380.23,139.73,139.73,646.27,39.77,1054.32,59.17,59.17,54.81,54.81,202.35,-181.36,-11.74,9.24,0.10123675039667301,0.0,0.531766444722981,0.12771344222138947,,0.05408147410176494,0.05408147410176494,,,0.0,0.0,,,0.0,,,0.2581227436823104,9.512923013302089,13.45909312530473,38.368858813386176,27.11921201538874,0.5565040879616578,-31.37608695652174,0.949421965317919,258.96914031083577,1497.92,1800.3699999999997,1215.54,164.69000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PAPER LTD,2023,2023-03-31,2097.66,821.18,-1.76,179.51,154.25,164.99,19.33,18.45,33.16,63.2,7.17,700.98,178.52,522.46,39.77,1542.4,55.46,367.07,2004.7,576.93,29.38,886.62,511.77,147.53,173.66,47.37,39770039.0,10.0,535.82,-497.7,-41.33,-3.22,49.71,2097.66,522.46,522.46,821.18,39.77,1542.4,55.46,55.46,47.37,47.37,535.82,-497.7,-41.33,-3.22,0.24906800911491855,0.0,0.6085256905313541,0.3302173597021812,,0.03505312324212948,0.03505312324212948,,,0.0,0.0,,,0.0,,,0.2546720305857514,12.07912011977427,14.218531824035788,30.21743275840699,25.670723568166437,0.5197901798975533,2.7390682029628577,1.6479861625895729,608.8967267936329,2004.7,2373.2599999999998,1428.0800000000002,669.5799999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PAPER LTD,2024,2024-03-31,1800.58,865.35,14.52,137.61,170.73,169.51,19.29,20.43,93.75,65.87,4.41,455.65,115.9,339.74,39.77,1853.43,115.08,442.68,2450.96,795.28,113.73,1028.77,513.18,60.93,236.98,26.26,39770039.0,10.0,318.74,-334.04,5.03,-10.27,39.77,1800.58,339.74,339.74,865.35,39.77,1853.43,115.08,115.08,26.26,26.26,318.74,-334.04,5.03,-10.27,0.1886836463806107,0.0,0.5194048584345045,0.17945277836467358,,0.06078597084301711,0.06078597084301711,,,0.0,0.0,,,0.0,,,0.25436190058158675,7.598025149801671,29.5516166092237,48.038798609336986,12.351270146286197,-0.14162447679795576,-0.34973012288022054,-0.40513605315217804,360.47571665786336,2450.96,2775.13,1453.2,347.3799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PAPER LTD,2025,2025-03-31,1541.24,974.65,47.65,130.1,131.34,169.31,20.59,23.46,83.85,88.32,17.89,117.08,28.16,88.91,39.77,1901.06,283.11,380.68,2604.62,1023.75,29.82,909.15,641.9,108.63,322.14,7.71,198850195.0,2.0,-55.39,-61.13,109.24,-7.28,19.88,1541.24,88.91,88.91,974.65,39.77,1901.06,283.11,283.11,7.71,7.71,-55.39,-61.13,109.24,-7.28,0.05768731670602891,0.0,0.36761957904025333,0.04581029765615742,,0.14587058114311918,0.14587058114311918,,,0.0,0.0,,,0.0,,,0.24051930304065597,4.784379462345564,14.187977538433215,76.28993537670966,25.72600633256339,-0.14403136767041724,-0.7382998763760522,-1.1737780008784588,278.4232325076344,2604.62,3043.1,1555.6599999999999,-14.419999999999845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PAPER LTD,2026,2026-03-31,1701.23,1098.6,-6.04,126.66,154.39,181.18,20.05,45.81,82.39,107.31,18.22,25.36,6.74,18.62,39.77,1899.58,232.15,366.59,2538.09,999.9,278.96,649.85,609.38,156.07,263.07,18.51,198850195.0,2.0,104.5,1.79,-93.89,12.4,9.94,1701.23,18.62,18.62,1098.6,39.77,1899.58,232.15,232.15,18.51,18.51,104.5,1.79,-93.89,12.4,0.010945022131046362,0.0,0.35423193806833886,0.009601155026168562,,0.11970505581767088,0.11970505581767088,,,0.0,0.0,,,0.0,,,0.2657728706624606,6.4668339225301255,10.900429294547319,56.44183913991641,33.484919734545,0.1038060263164724,-0.7905747384996064,-2.8866221339591984,130.84625723853773,2538.09,2975.7400000000007,1752.22,-50.99000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
