Unnamed: 0,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,SCREENER.IN,Unnamed: 13
Narration,,,,,,Trailing,,Worst Case
Sales,,,,,,,,
Expenses,,,,,,,,
Operating Profit,,,,,,,,
Other Income,,,,,,,0.0,0
Depreciation,,,,,,,,
Interest,,,,,,,,
Profit before tax,,,,,,,,
Tax,,,,,,,,
Net profit,,,,,,,,
EPS,,,,,,,,
Price to earning,,,,,,,,
Price,,,,,,,,
RATIOS:,,,,,,,,
Dividend Payout,,,,,,,,
OPM,,,,,,,,
,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,,WORST
,Sales Growth,,,,,,,
,OPM,,,,,,,
,Price to Earning,,,,,,,
