Company,Year,Report Date,Sales,Raw Material Cost,Change in Inventory,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total,Net Block,Capital Work in Progress,Other Assets,Receivables,Inventory,Cash & Bank,No. of Equity Shares,Face value,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,Investments,New Bonus Shares,Revenue,Net_Income,Net Profit,Cost_of_Revenue,Share_Capital,Retained_Earnings,Total_Debt,Long_Term_Debt,Cash_and_Equivalents,Cash and Bank,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Net_Cash_Change,Profit_Margin,Operating_Margin,gross_margin,ROE,ROA,Debt_Equity_Ratio,Debt_to_Equity,Debt_Ratio,Equity_Ratio,Interest_Coverage_Ratio,Interest_Coverage,Asset_Utilization_Ratio,Asset_Utilization,Expense_Ratio,Depreciation_Ratio,Operating_CF_Ratio,effective_tax_rate,inventory_turnover,receivables_turnover,dio,dso,Revenue_Growth,Profit_Growth,Operating_CF_Growth,Revenue_Volatility,Total Liabilities,Total Assets,Expenses,Operating Profit,Working_Capital_Ratio,Receivable_Ratio,Inventory_Ratio,Cash_to_Debt,Cash_Margin,Borrowing_Growth,Asset_Growth,Reserve_Growth,Receivable_Growth,Inventory_Growth,Cash_Growth,Revenue_CAGR_3Y,Profit_CAGR_3Y,Profit_Volatility,Operating_CF_Volatility
ASTRAL LTD,2017,2017-03-31,1894.67,1306.19,2.7,43.54,41.47,88.79,145.48,10.58,8.01,50.2,18.4,200.73,56.16,144.68,7.19,11.98,834.87,228.97,385.79,1461.61,741.2,24.98,695.43,338.5,272.1,18.19,119766565.0,1.0,114.19,-157.98,12.05,-31.73,,,1894.67,144.68,144.68,1306.19,11.98,834.87,228.97,228.97,18.19,18.19,114.19,-157.98,12.05,-31.73,0.07636158275583611,0.0,0.3105976238606195,0.17084489579028164,,0.27037846135679283,0.27037846135679283,,,0.0,0.0,,,0.0,,,0.27977880735316096,6.96313855200294,5.59725258493353,52.41889088865079,65.2105643726876,,,,,1461.61,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTRAL LTD,2018,2018-03-31,2072.92,1402.08,18.71,53.25,45.22,106.58,157.65,12.71,12.68,57.13,21.58,248.11,72.45,175.09,7.19,11.98,1006.26,189.08,467.7,1675.02,842.47,73.13,759.42,306.73,357.24,43.65,119766565.0,1.0,281.85,-185.27,-71.11,25.46,,,2072.92,175.09,175.09,1402.08,11.98,1006.26,189.08,189.08,43.65,43.65,281.85,-185.27,-71.11,25.46,0.08446539181444532,0.0,0.3236207861374294,0.17195356693903205,,0.18569296040226274,0.18569296040226274,,,0.0,0.0,,,0.0,,,0.29200757728426907,5.802597693427388,6.758126039187559,62.90286166374003,54.009054859811286,0.09407970781191444,0.21018800110588876,1.4682546632804976,126.04178374650209,1675.02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTRAL LTD,2019,2019-03-31,2507.3,1689.8,42.1,65.3,54.9,139.2,200.9,17.7,15.1,81.4,31.9,283.4,86.1,195.8,8.4,12.0,1265.7,275.3,546.1,2099.1,1105.4,80.8,912.7,339.1,397.0,98.1,119806565.0,1.0,342.0,-291.3,-5.0,45.7,0.2,,2507.3,195.8,195.8,1689.8,12.0,1265.7,275.3,275.3,98.1,98.1,342.0,-291.3,-5.0,45.7,0.07809197144338531,0.0,0.3260479400151558,0.1532441105110746,,0.215465289191516,0.215465289191516,,,0.0,0.0,,,0.0,,,0.3038108680310515,6.315617128463477,7.393984075493955,57.79324372831332,49.36445578909584,0.2095498137892442,0.11828202638642993,0.21341138903672152,315.1122984482412,2099.1,2933.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTRAL LTD,2020,2020-03-31,2577.9,1665.6,69.9,70.3,62.4,175.4,214.1,17.9,11.3,107.9,39.4,306.1,56.5,247.9,15.1,15.1,1487.8,191.0,595.2,2289.1,1254.9,44.4,989.6,227.8,540.4,130.1,150662206.0,1.0,405.4,-317.7,-163.0,-75.3,0.2,30132441.0,2577.9,247.9,247.9,1665.6,15.1,1487.8,191.0,191.0,130.1,130.1,405.4,-317.7,-163.0,-75.3,0.09616354396989797,0.0,0.35389270336320267,0.16494776764921154,,0.127087630580877,0.127087630580877,,,0.0,0.0,,,0.0,,,0.18458020254818686,4.770355292376018,11.316505706760315,76.51421699833197,32.25377245044416,0.02815777928448915,0.26608784473953007,0.1853801169590643,273.4578409919895,2289.1,3187.4000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTRAL LTD,2021,2021-03-31,3176.3,1919.7,-49.2,64.3,64.9,191.3,227.6,21.7,25.0,116.5,13.1,533.0,124.8,404.4,40.2,20.1,1875.7,80.2,696.7,2672.7,1314.5,56.6,1301.6,276.7,472.1,476.0,200907768.0,1.0,664.1,-454.1,-153.2,56.8,,,3176.3,404.4,404.4,1919.7,20.1,1875.7,80.2,80.2,476.0,476.0,664.1,-454.1,-153.2,56.8,0.12731794855649653,0.0,0.3956175424235746,0.21331364067939657,,0.04230404051060239,0.04230404051060239,,,0.0,0.0,,,0.0,,,0.23414634146341462,6.7280237237873335,11.479219371160102,54.25070050058244,31.7965872241287,0.23212692501648635,0.6313029447357805,0.6381351751356685,367.565848975845,2672.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTRAL LTD,2022,2022-03-31,4394.0,3061.4,133.4,77.7,87.7,245.6,278.9,22.6,34.8,126.9,12.9,648.5,158.1,483.8,60.3,20.1,2316.5,98.3,952.0,3386.9,1496.0,123.2,1767.7,269.1,733.4,641.8,200907768.0,1.0,543.1,71.5,-44.0,570.6,,,4394.0,483.8,483.8,3061.4,20.1,2316.5,98.3,98.3,641.8,641.8,543.1,71.5,-44.0,570.6,0.1101046882111971,0.0,0.3032771961766044,0.20705298296670377,,0.04206967388513225,0.04206967388513225,,,0.0,0.0,,,0.0,,,0.24379336931380108,5.991273520589037,16.328502415458935,60.921939007737826,22.353550295857993,0.3833705884204892,0.1963402571711177,-0.18220147568137324,925.4814116627807,3386.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTRAL LTD,2023,2023-03-31,5158.5,3315.5,-12.1,101.9,222.3,319.6,345.2,32.3,36.7,178.1,40.0,628.2,155.7,456.6,94.15,26.9,2684.3,87.1,1563.8,4362.1,1950.5,126.1,2285.5,354.5,874.6,682.1,268611572.0,1.0,556.9,-478.1,-190.6,-111.8,,,5158.5,456.6,456.6,3315.5,26.9,2684.3,87.1,87.1,682.1,682.1,556.9,-478.1,-190.6,-111.8,0.08851410293690026,0.0,0.3572744014732965,0.16841251106521096,,0.0321259958689879,0.0321259958689879,,,0.0,0.0,,,0.0,,,0.2478510028653295,5.898124857077521,14.55148095909732,61.88407482795386,25.083357565183675,0.17398725534820203,-0.05622157916494419,0.025409685140858063,999.6974859092788,4362.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTRAL LTD,2024,2024-03-31,5641.4,3435.8,86.0,130.7,252.4,438.4,510.2,35.3,35.7,197.6,29.1,733.6,188.0,546.1,100.88,26.9,3161.2,119.4,1188.3,4495.8,2299.4,150.6,2045.8,375.8,913.4,609.6,268611572.0,1.0,823.4,-541.0,-202.5,79.9,,,5641.4,546.1,546.1,3435.8,26.9,3161.2,119.4,119.4,609.6,609.6,823.4,-541.0,-202.5,79.9,0.09680221221682563,0.0,0.39096678129542306,0.17129324676139396,,0.03745177378375836,0.03745177378375836,,,0.0,0.0,,,0.0,,,0.25627044711014174,6.17626450624042,15.011708355508247,59.09720991243309,24.31435459283157,0.09361248424929713,0.1960140166447657,0.4785419285329502,628.9752803833651,4495.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTRAL LTD,2025,2025-03-31,5832.4,3426.0,27.8,133.0,274.8,517.9,524.4,38.2,41.3,243.4,41.3,702.5,183.6,523.8,100.88,26.9,3590.1,233.2,1197.6,5047.8,2711.6,116.0,2220.2,435.3,1011.1,608.3,268611572.0,1.0,629.6,-512.6,-118.3,-1.3,,,5832.4,523.8,523.8,3426.0,26.9,3590.1,233.2,233.2,608.3,608.3,629.6,-512.6,-118.3,-1.3,0.08980865509910156,0.0,0.41259172896234825,0.14481614597732925,,0.06447332043129665,0.06447332043129665,,,0.0,0.0,,,0.0,,,0.26135231316725976,5.76837108100089,13.398575694923041,63.27609560386805,27.24170152938756,0.033856844045804246,-0.0408350119025821,-0.2353655574447413,347.3266042214439,5047.799999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTRAL LTD,2026,2026-03-31,6568.6,3968.2,17.1,,,590.4,,965.2,24.7,291.6,64.4,730.6,195.9,534.7,67.25,26.9,4031.0,250.3,1503.7,5811.9,2945.0,88.7,2778.2,475.1,1117.3,943.4,,1.0,1117.0,-506.5,-328.2,282.3,,,6568.6,534.7,534.7,3968.2,26.9,4031.0,250.3,250.3,943.4,943.4,1117.0,-506.5,-328.2,282.3,0.08140242974149743,0.0,0.3958834454830558,0.131767663076961,,0.06168215086621159,0.06168215086621159,,,0.0,0.0,,,0.0,,,0.2681357788119354,5.878994003401057,13.825720900862976,62.08545199890387,26.40007003014341,0.12622591043138343,0.020809469263077585,0.7741423125794153,489.5867781439093,5811.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
