Company,Year,Report Date,Sales,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total,Net Block,Capital Work in Progress,Investments,Other Assets,Receivables,Inventory,Cash & Bank,No. of Equity Shares,Face value,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,Revenue,Net_Income,Net Profit,Share_Capital,Retained_Earnings,Total_Debt,Long_Term_Debt,Cash_and_Equivalents,Cash and Bank,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Net_Cash_Change,Profit_Margin,Operating_Margin,gross_margin,ROE,ROA,Debt_Equity_Ratio,Debt_to_Equity,Debt_Ratio,Equity_Ratio,Interest_Coverage_Ratio,Interest_Coverage,Asset_Utilization_Ratio,Asset_Utilization,Expense_Ratio,Depreciation_Ratio,Operating_CF_Ratio,effective_tax_rate,inventory_turnover,receivables_turnover,dio,dso,Revenue_Growth,Profit_Growth,Operating_CF_Growth,Revenue_Volatility,Total Liabilities,Total Assets,Raw Material Cost,Expenses,Operating Profit,Change in Inventory,Working_Capital_Ratio,Receivable_Ratio,Inventory_Ratio,Cash_to_Debt,Cash_Margin,Borrowing_Growth,Asset_Growth,Reserve_Growth,Receivable_Growth,Inventory_Growth,Cash_Growth,Revenue_CAGR_3Y,Profit_CAGR_3Y,Profit_Volatility,Operating_CF_Volatility
BHARTI AIRTEL LTD,2017,2017-03-31,95468.3,7294.6,34082.7,4303.2,8626.8,5831.2,1713.1,19773.0,9546.6,7723.3,3481.9,3799.8,399.74,1998.7,65457.6,107287.6,57578.4,232322.3,178235.1,10838.5,14338.7,28910.0,4740.2,48.8,5098.3,3997400102.0,5.0,28279.9,-30680.0,-351.4,-2751.5,95468.3,3799.8,3799.8,1998.7,65457.6,107287.6,107287.6,5098.3,5098.3,28279.9,-30680.0,-351.4,-2751.5,0.03980169333695059,0.0,1.0,0.05632980166418852,,1.5904756116181884,1.5904756116181884,,,0.0,0.0,,,0.0,,,0.4508306034985045,1956.31762295082,20.140141766170206,0.18657502018994784,18.12301046525391,,,,,232322.30000000002,242209.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHARTI AIRTEL LTD,2018,2018-03-31,82638.8,6908.2,30443.6,3977.1,6023.1,5207.7,1756.5,19243.1,9325.5,3267.0,1083.5,1099.0,2134.61,1998.7,67535.7,111333.5,68653.1,249521.0,187200.4,9751.2,16158.6,36410.8,5883.0,69.3,6670.6,3997400102.0,5.0,29853.8,-27939.5,1920.5,3834.8,82638.8,1099.0,1099.0,1998.7,67535.7,111333.5,111333.5,6670.6,6670.6,29853.8,-27939.5,1920.5,3834.8,0.013298837834044057,0.0,1.0,0.015805126671115305,,1.6011283623645276,1.6011283623645276,,,0.0,0.0,,,0.0,,,0.33164983164983164,1192.4790764790766,14.047050824409315,0.3060850351166764,25.98410189886591,-0.13438492148702763,-0.710774251276383,0.055654369357741595,9071.82644923281,249521.0,262143.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHARTI AIRTEL LTD,2019,2019-03-31,80780.2,8043.6,31849.8,3797.5,5337.7,5987.8,4474.1,21347.5,10622.2,-1731.8,-3419.3,409.5,999.35,1998.7,69423.5,125428.3,77175.8,274026.3,200831.5,9634.2,15711.0,47849.6,4300.6,88.4,8064.0,3997400107.0,5.0,20070.2,-28285.6,9463.8,1248.4,80780.2,409.5,409.5,1998.7,69423.5,125428.3,125428.3,8064.0,8064.0,20070.2,-28285.6,9463.8,1248.4,0.005069311539213818,0.0,1.0,0.0057335114292194865,,1.756152848834116,1.756152848834116,,,0.0,0.0,,,0.0,,,1.9744196789467607,913.8031674208144,18.783472073664136,0.399429563185038,19.431977142913738,-0.022490646040358886,-0.6273885350318471,-0.32771707454327414,7997.819971925684,274026.3,286479.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHARTI AIRTEL LTD,2020,2020-03-31,87539.0,9124.9,29935.1,3807.2,4643.2,3419.1,-37774.6,27689.6,13991.8,-42846.5,-12182.3,-32183.2,1091.12,2727.8,74417.0,148228.1,133718.4,359091.3,229255.5,4282.3,25476.5,100077.0,4605.8,156.9,15892.7,5455557355.0,5.0,18128.7,-29598.5,19144.4,7674.6,87539.0,-32183.2,-32183.2,2727.8,74417.0,148228.1,148228.1,15892.7,15892.7,18128.7,-29598.5,19144.4,7674.6,-0.3676441357566342,0.0,1.0,-0.4171791228961641,,1.9214269788760876,1.9214269788760876,,,0.0,0.0,,,0.0,,,0.28432427386134224,557.9286169534736,19.006252985366277,0.6542055540958887,19.20420612526988,0.08366901790290204,-79.591452991453,-0.09673545854052279,3491.6025795232295,359091.30000000005,379746.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHARTI AIRTEL LTD,2021,2021-03-31,100615.8,9853.8,34315.7,4114.6,4787.8,2265.0,-4215.0,29404.4,15091.0,-3431.5,8932.5,-15083.5,,2746.0,56206.7,162785.2,122679.2,344417.1,223479.6,5726.5,27550.4,87660.6,3637.7,266.0,13466.1,5492027268.0,5.0,48205.0,-27285.6,-24910.3,-3990.9,100615.8,-15083.5,-15083.5,2746.0,56206.7,162785.2,162785.2,13466.1,13466.1,48205.0,-27285.6,-24910.3,-3990.9,-0.1499118428715967,0.0,1.0,-0.2558576621596636,,2.7612848945001676,2.7612848945001676,,,0.0,0.0,,,0.0,,,-2.6030890281218126,378.2548872180451,27.659180251257666,0.9649577899296135,13.196341926417121,0.14938256091570623,-0.531323796266375,1.6590433952793084,10084.105505199752,344417.10000000003,361786.89999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHARTI AIRTEL LTD,2022,2022-03-31,116546.9,10489.8,35639.8,4433.3,6413.6,2036.5,4656.1,33090.7,16616.2,12483.1,4177.9,4254.9,1677.0,2795.0,63759.3,169677.9,124975.0,361207.2,244083.3,5954.7,29349.1,81820.1,4056.2,375.0,13494.3,5884314930.0,5.0,55016.6,-41477.7,-15203.2,-1664.3,116546.9,4254.9,4254.9,2795.0,63759.3,169677.9,169677.9,13494.3,13494.3,55016.6,-41477.7,-15203.2,-1664.3,0.036508049549151454,0.0,1.0,0.06393125613221083,,2.5494656243097737,2.5494656243097737,,,0.0,0.0,,,0.0,,,0.33468449343512424,310.7917333333333,28.733025984911986,1.1744199116407217,12.703152121592252,0.1583359671145088,-1.282089700666291,0.1413048438958613,14527.33577237524,361207.2,379132.69999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHARTI AIRTEL LTD,2023,2023-03-31,139144.8,13088.2,34827.5,4830.8,8593.2,6531.6,1018.9,36431.8,19299.9,16560.7,4273.3,8345.9,2269.28,2836.6,74726.3,226020.3,140973.8,444557.0,277393.8,49425.4,32953.9,84783.9,3981.5,257.6,13418.6,5967422312.0,5.0,65324.6,-39232.4,-24469.5,1622.7,139144.8,8345.9,8345.9,2836.6,74726.3,226020.3,226020.3,13418.6,13418.6,65324.6,-39232.4,-24469.5,1622.7,0.05997996331878734,0.0,1.0,0.10760170132885695,,2.91402590671571,2.91402590671571,,,0.0,0.0,,,0.0,,,0.2580386094790679,540.1583850931676,34.9478337310059,0.6757277311117629,10.444138048996441,0.19389533312340346,0.9614797057510165,0.1873616326708667,19360.39287058333,444557.0,462214.69999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHARTI AIRTEL LTD,2024,2024-03-31,149982.4,12636.9,36936.2,5323.1,9934.0,7259.6,-3028.3,39537.6,22647.7,12679.0,4121.0,7467.0,4602.56,2876.6,79142.2,215592.3,144408.1,442019.2,303303.1,16904.1,31602.3,90209.7,4727.7,363.9,16339.9,6047374739.0,5.0,78898.2,-51089.0,-27778.5,30.7,149982.4,7467.0,7467.0,2876.6,79142.2,215592.3,215592.3,16339.9,16339.9,78898.2,-51089.0,-27778.5,30.7,0.04978584153874055,0.0,1.0,0.09104010300077543,,2.628571742088399,2.628571742088399,,,0.0,0.0,,,0.0,,,0.32502563293635145,412.1527892278098,31.724178776149078,0.8855939096854031,11.505419969276396,0.07788720814575889,-0.10530919373584635,0.20778695927720947,17058.972802311448,442019.19999999995,463450.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHARTI AIRTEL LTD,2025,2025-03-31,172985.2,15525.9,38978.7,6308.9,14130.7,12980.8,20662.5,45570.3,21753.9,38398.5,917.2,33556.1,9280.32,2900.1,110771.8,213642.1,177691.5,505005.5,388468.2,10998.9,5838.3,99700.1,7455.7,451.7,16719.9,6094392981.0,5.0,98332.2,-60198.0,-36533.2,1601.0,172985.2,33556.1,33556.1,2900.1,110771.8,213642.1,213642.1,16719.9,16719.9,98332.2,-60198.0,-36533.2,1601.0,0.1939824909876683,0.0,1.0,0.2952013646292531,,1.879462734413694,1.879462734413694,,,0.0,0.0,,,0.0,,,0.023886349727202886,382.96479964578265,23.20173826736591,0.9530902065610236,15.731579927068903,0.15336999541279517,3.49391991428954,0.24631740648075628,17280.794029596447,505005.5,529632.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHARTI AIRTEL LTD,2026,2026-03-31,210972.8,20273.9,40390.6,7581.3,16303.7,9909.5,2925.0,52710.8,21555.3,45172.7,11349.9,26695.2,14624.64,3046.8,146009.8,195411.7,200904.4,545372.7,406336.6,12938.1,18901.3,107196.7,7977.6,600.9,30376.8,6094392981.0,5.0,122229.6,-56205.4,-52292.6,13731.6,210972.8,26695.2,26695.2,3046.8,146009.8,195411.7,195411.7,30376.8,30376.8,122229.6,-56205.4,-52292.6,13731.6,0.12653384701724585,0.0,1.0,0.17909438428087052,,1.3109899192655678,1.3109899192655678,,,0.0,0.0,,,0.0,,,0.25125573631861725,351.09469129638876,26.445647813878857,1.0396055794870238,13.80189294544131,0.21960028950453547,-0.20446058987784632,0.24302720777120834,30800.4747088959,545372.7,584328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
