Company,Year,Sales,Raw Material Cost,Change in Inventory,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Net Block,Capital Work in Progress,Investments,Other Assets,Total Assets,Receivables,Inventory,Cash & Bank,No. of Equity Shares,Face value,Report Date,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,PRICE:,Adjusted Equity Shares in Cr
AARTI DRUGS LTD,2017,1195.17,765.89,0.43,59.42,84.41,52.87,36.82,5.7,4.0,38.46,40.02,116.01,34.21,81.8,2.39,23.86,376.28,479.5,311.4,1191.04,581.09,14.28,11.94,583.73,1191.04,296.81,209.63,4.17,23857000.0,10,2017-03-31,174.75,-106.98,-68.23,-0.45,143.98,9.54
AARTI DRUGS LTD,2018,1243.63,821.92,54.87,71.42,99.3,57.98,41.76,4.24,1.05,40.06,38.36,124.51,42.2,82.31,2.36,23.58,431.85,546.25,387.74,1389.42,602.39,28.45,10.76,747.82,1389.42,374.94,278.21,4.27,23582000.0,10,2018-03-31,69.77,-73.54,3.92,0.15,126.5,9.43
AARTI DRUGS LTD,2019,1560.94,1026.31,-16.82,84.39,110.19,60.96,48.25,3.1,6.18,42.56,43.51,131.03,41.27,89.75,2.36,23.58,519.86,507.21,404.84,1455.49,624.86,32.75,12.44,785.44,1455.49,458.54,246.61,5.55,23582000.0,10,2019-03-31,143.09,-61.67,-80.07,1.35,159.33,9.43
AARTI DRUGS LTD,2020,1806.09,1210.6,51.28,103.83,129.04,69.4,72.11,6.88,5.95,48.75,37.42,185.29,43.89,141.4,4.66,23.3,629.19,388.64,535.37,1576.5,643.81,12.21,13.36,907.12,1576.5,488.63,325.4,7.64,23300000.0,10,2020-03-31,250.74,-33.21,-215.41,2.13,125.58,9.32
AARTI DRUGS LTD,2021,2154.78,1310.66,11.72,98.2,147.41,80.56,83.75,5.53,4.74,49.88,26.23,369.02,88.61,280.41,23.3,93.2,820.22,350.76,501.83,1766.01,665.4,19.26,17.3,1064.05,1766.01,555.23,415.0,9.78,93200000.0,10,2021-03-31,154.95,-71.78,-81.13,2.04,694.3,9.32
AARTI DRUGS LTD,2022,2488.65,1750.06,86.08,128.34,181.25,82.77,90.77,8.95,11.32,50.05,23.91,269.95,64.96,205.04,9.26,92.6,943.76,542.82,628.78,2207.96,689.93,76.74,19.48,1421.81,2207.96,749.9,525.94,22.33,92600000.0,10,2022-03-31,70.41,-149.64,92.03,12.8,429.1,9.26
AARTI DRUGS LTD,2023,2716.05,1863.71,1.75,156.1,192.85,92.26,92.83,10.59,2.19,50.32,37.14,224.19,57.83,166.31,9.26,92.6,1099.83,608.91,620.06,2421.4,676.23,210.35,18.8,1516.02,2421.4,864.84,516.29,8.96,92600000.0,10,2023-03-31,133.32,-163.97,16.54,-14.11,337.75,9.26
AARTI DRUGS LTD,2024,2528.58,1626.1,-25.51,154.31,218.85,102.48,69.02,11.29,3.85,51.45,37.89,235.53,63.93,171.42,9.19,91.94,1189.61,564.28,586.54,2432.37,811.09,260.87,19.97,1340.44,2432.37,704.55,485.89,9.43,91935000.0,10,2024-03-31,358.92,-223.65,-136.03,-0.76,434.3,9.19
AARTI DRUGS LTD,2025,2387.03,1496.08,-19.46,152.01,223.08,112.27,80.82,13.08,16.36,55.78,39.04,211.77,43.67,168.16,9.13,91.27,1277.73,615.08,590.6,2574.68,866.11,330.18,22.41,1355.98,2574.68,751.18,472.93,7.56,91270000.0,10,2025-03-31,244.58,-164.63,-82.12,-2.17,340.3,9.13
AARTI DRUGS LTD,2026,2565.31,1619.09,0.37,,,129.32,,508.08,2.39,66.97,33.71,210.9,15.96,194.92,18.25,91.27,1457.59,576.64,689.76,2815.26,1086.4,213.81,27.31,1487.74,2815.26,829.87,490.78,8.81,,10,2026-03-31,253.54,-173.41,-77.44,2.69,319.75,9.13
