Company,Year,Sales,Raw Material Cost,Change in Inventory,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Net Block,Capital Work in Progress,Investments,Other Assets,Total Assets,Receivables,Inventory,Cash & Bank,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,Expenses,Operating Profit,Profit_Margin,Operating_Margin,ROE,ROA,Debt_to_Equity,Interest_Coverage,Working_Capital_Ratio,Asset_Utilization,Receivable_Ratio,Inventory_Ratio,Expense_Ratio,Depreciation_Ratio,Operating_CF_Ratio,Cash_to_Debt,Cash_Margin,Revenue_Growth,Profit_Growth,Borrowing_Growth,Asset_Growth,Reserve_Growth,Operating_CF_Growth,Receivable_Growth,Inventory_Growth,Cash_Growth,Revenue_CAGR_3Y,Profit_CAGR_3Y,Revenue_Volatility,Profit_Volatility,Operating_CF_Volatility
AARTI DRUGS LTD,2017,1195.17,765.89,0.43,59.42,84.41,52.87,36.82,5.7,4.0,38.46,40.02,116.01,34.21,81.8,2.39,23.86,376.28,479.5,311.4,1191.04,581.09,14.28,11.94,583.73,1191.04,296.81,209.63,4.17,174.75,-106.98,-68.23,-0.45,1084.0199999999998,115.15000000000032,0.0684,0.0963,0.2044,0.0687,1.1983,2.8281,0.0035,2.0475,0.2483,0.1754,0.907,0.0323,0.1462,0.0087,2.1363,,,,,,,,,,0.0,0.0,,,
AARTI DRUGS LTD,2018,1243.63,821.92,54.87,71.42,99.3,57.98,41.76,4.24,1.05,40.06,38.36,124.51,42.2,82.31,2.36,23.58,431.85,546.25,387.74,1389.42,602.39,28.45,10.76,747.82,1389.42,374.94,278.21,4.27,69.77,-73.54,3.92,0.15,1229.9099999999999,14.770000000000255,0.0662,0.0119,0.1807,0.0592,1.1994,3.1634,0.0031,1.663,0.3015,0.2237,0.989,0.0288,0.0561,0.0078,0.8476,0.0405,0.0062,0.1392,0.1666,0.1477,-0.6007,0.2632,0.3271,0.024,0.0,0.0,34.2664,0.3606,74.2321
AARTI DRUGS LTD,2019,1560.94,1026.31,-16.82,84.39,110.19,60.96,48.25,3.1,6.18,42.56,43.51,131.03,41.27,89.75,2.36,23.58,519.86,507.21,404.84,1455.49,624.86,32.75,12.44,785.44,1455.49,458.54,246.61,5.55,143.09,-61.67,-80.07,1.35,1402.45,164.67000000000002,0.0575,0.1055,0.1652,0.0617,0.9333,2.9438,0.0038,1.9873,0.2938,0.158,0.8985,0.0292,0.0917,0.0109,1.5943,0.2551,0.0904,-0.0715,0.0476,0.2038,1.0509,0.223,-0.1136,0.2998,0.0,0.0,198.6713,4.45,53.8501
AARTI DRUGS LTD,2020,1806.09,1210.6,51.28,103.83,129.04,69.4,72.11,6.88,5.95,48.75,37.42,185.29,43.89,141.4,4.66,23.3,629.19,388.64,535.37,1576.5,643.81,12.21,13.36,907.12,1576.5,488.63,325.4,7.64,250.74,-33.21,-215.41,2.13,1729.31,82.72999999999998,0.0783,0.0458,0.2167,0.0897,0.5956,4.8227,0.0048,1.991,0.2705,0.1802,0.9575,0.0309,0.1388,0.0196,1.7733,0.1571,0.5755,-0.2338,0.0831,0.2103,0.7523,0.0656,0.3195,0.3766,0.1475,0.2001,282.0004,32.1836,91.0261
AARTI DRUGS LTD,2021,2154.78,1310.66,11.72,98.2,147.41,80.56,83.75,5.53,4.74,49.88,26.23,369.02,88.61,280.41,23.3,93.2,820.22,350.76,501.83,1766.01,665.4,19.26,17.3,1064.05,1766.01,555.23,415.0,9.78,154.95,-71.78,-81.13,2.04,1813.9400000000003,345.5799999999999,0.1301,0.1604,0.307,0.1588,0.384,13.552,0.0055,2.0251,0.2577,0.1926,0.8418,0.0282,0.0719,0.0278,0.5526,0.1931,0.9831,-0.0975,0.1202,0.3036,-0.382,0.1363,0.2754,0.2801,0.2011,0.5047,298.4206,98.6093,59.0267
AARTI DRUGS LTD,2022,2488.65,1750.06,86.08,128.34,181.25,82.77,90.77,8.95,11.32,50.05,23.91,269.95,64.96,205.04,9.26,92.6,943.76,542.82,628.78,2207.96,689.93,76.74,19.48,1421.81,2207.96,749.9,525.94,22.33,70.41,-149.64,92.03,12.8,2402.18,97.79000000000025,0.0824,0.0393,0.1978,0.0929,0.5238,10.837,0.0101,1.7503,0.3013,0.2113,0.9653,0.0227,0.0283,0.0411,0.3434,0.1549,-0.2688,0.5476,0.2503,0.1506,-0.5456,0.3506,0.2673,1.2832,0.1682,0.317,341.3068,69.5874,90.2235
AARTI DRUGS LTD,2023,2716.05,1863.71,1.75,156.1,192.85,92.26,92.83,10.59,2.19,50.32,37.14,224.19,57.83,166.31,9.26,92.6,1099.83,608.91,620.06,2421.4,676.23,210.35,18.8,1516.02,2421.4,864.84,516.29,8.96,133.32,-163.97,16.54,-14.11,2497.5499999999997,220.69000000000045,0.0612,0.0813,0.1395,0.0687,0.5106,5.8781,0.0037,1.7916,0.3184,0.1901,0.9196,0.0208,0.0491,0.0147,0.8016,0.0914,-0.1889,0.1218,0.0967,0.1654,0.8935,0.1533,-0.0183,-0.5987,0.1457,0.0556,282.3131,58.0222,43.9176
AARTI DRUGS LTD,2024,2528.58,1626.1,-25.51,154.31,218.85,102.48,69.02,11.29,3.85,51.45,37.89,235.53,63.93,171.42,9.19,91.94,1189.61,564.28,586.54,2432.37,811.09,260.87,19.97,1340.44,2432.37,704.55,485.89,9.43,358.92,-223.65,-136.03,-0.76,2245.8799999999997,286.5500000000003,0.0678,0.1133,0.1338,0.0705,0.4403,6.0563,0.0039,1.8864,0.2786,0.1922,0.8882,0.0212,0.1419,0.0167,2.0938,-0.069,0.0307,-0.0733,0.0045,0.0816,1.6922,-0.1853,-0.0589,0.0525,0.0548,-0.1513,121.4154,21.0413,151.7075
AARTI DRUGS LTD,2025,2387.03,1496.08,-19.46,152.01,223.08,112.27,80.82,13.08,16.36,55.78,39.04,211.77,43.67,168.16,9.13,91.27,1277.73,615.08,590.6,2574.68,866.11,330.18,22.41,1355.98,2574.68,751.18,472.93,7.56,244.58,-164.63,-82.12,-2.17,2152.7,250.6900000000004,0.0704,0.105,0.1228,0.0653,0.4493,5.289,0.0029,1.7604,0.3147,0.1981,0.9018,0.0217,0.1025,0.0123,1.4544,-0.056,-0.019,0.09,0.0585,0.0741,-0.3186,0.0662,-0.0267,-0.1983,-0.0138,-0.064,165.0432,2.5872,112.8035
AARTI DRUGS LTD,2026,2565.31,1619.09,0.37,,,129.32,,508.08,2.39,66.97,33.71,210.9,15.96,194.92,18.25,91.27,1457.59,576.64,689.76,2815.26,1086.4,213.81,27.31,1487.74,2815.26,829.87,490.78,8.81,253.54,-173.41,-77.44,2.69,2357.54,210.15999999999997,0.076,0.0819,0.1258,0.0692,0.3723,6.0761,0.0031,1.7243,0.3235,0.1913,0.919,0.0238,0.0988,0.0153,1.3007,0.0747,0.1591,-0.0625,0.0934,0.1408,0.0366,0.1048,0.0377,0.1653,-0.0189,0.0543,94.1358,14.6001,63.5857
