Company,Year,Passed Rules,Failed Rules,Skipped Rules,Critical Failures,High Failures,Medium Failures,Low Failures,Obtained Score,Maximum Score,Risk Score,Risk Level
AARTI DRUGS LTD,2017,58,0,92,0,0,0,0,0.0,868.8,0.0,Low
AARTI DRUGS LTD,2018,103,7,40,2,5,0,0,60.0,868.8,6.91,Low
AARTI DRUGS LTD,2019,108,5,37,2,2,1,0,44.5,868.8,5.12,Low
AARTI DRUGS LTD,2020,110,3,37,2,1,0,0,32.0,868.8,3.68,Low
AARTI DRUGS LTD,2021,106,7,37,2,5,0,0,60.0,868.8,6.91,Low
AARTI DRUGS LTD,2022,105,8,37,2,6,0,0,67.0,868.8,7.71,Low
AARTI DRUGS LTD,2023,103,10,37,2,6,2,0,77.5,868.8,8.92,Low
AARTI DRUGS LTD,2024,106,7,37,2,4,1,0,58.5,868.8,6.73,Low
AARTI DRUGS LTD,2025,101,12,37,2,8,2,0,91.5,868.8,10.53,Low
AARTI DRUGS LTD,2026,109,4,37,2,1,1,0,37.5,868.8,4.32,Low
