Company,Year,Rule ID,Rule Name,Group,Category,Severity,Status,Message,Observed
AARTI DRUGS LTD,2018,CF-002,Cash flow to cash-balance tie-out,Handbook Rules,integrity,Critical,fail,Validation triggered,"{'Cash & Bank': np.float64(4.27), 'Net Cash Flow': np.float64(0.15)}"
AARTI DRUGS LTD,2018,CF-004,Financing activity plausibility,Handbook Rules,cross_statement,High,fail,Validation triggered,"{'Borrowings': np.float64(546.25), 'Dividend Amount': np.float64(2.36), 'Cash from Financing Activity': np.float64(3.92)}"
AARTI DRUGS LTD,2018,FA-024,Adverse operating-cash-flow growth,Financial Analytics Rules,financial_analytics,High,fail,Validation triggered,{'Operating_CF_Growth': np.float64(-0.6007)}
AARTI DRUGS LTD,2018,FA-098,Revenue growth with operating cash-flow decline,Financial Analytics Rules,financial_analytics,High,fail,Validation triggered,"{'Revenue_Growth': np.float64(0.0405), 'Operating_CF_Growth': np.float64(-0.6007)}"
AARTI DRUGS LTD,2018,FA-106,Operating cash flow below net profit,Financial Analytics Rules,financial_analytics,High,fail,Validation triggered,"{'Cash from Operating Activity': np.float64(69.77), 'Net profit': np.float64(82.31)}"
AARTI DRUGS LTD,2018,IS-011,Revenue versus operating cash flow correlation,Handbook Rules,cross_statement,High,fail,Validation triggered,"{'Revenue_Growth': np.float64(0.0405), 'Operating_CF_Growth': np.float64(-0.6007)}"
AARTI DRUGS LTD,2018,IS-013,Net income to reserve movement plausibility,Handbook Rules,cross_statement,Critical,fail,Validation triggered,"{'Net profit': np.float64(82.31), 'Dividend Amount': np.float64(2.36), 'Reserves': np.float64(431.85)}"
AARTI DRUGS LTD,2019,CF-002,Cash flow to cash-balance tie-out,Handbook Rules,integrity,Critical,fail,Validation triggered,"{'Cash & Bank': np.float64(5.55), 'Net Cash Flow': np.float64(1.35)}"
AARTI DRUGS LTD,2019,FA-021,Adverse borrowing growth,Financial Analytics Rules,financial_analytics,High,fail,Validation triggered,{'Borrowing_Growth': np.float64(-0.0715)}
AARTI DRUGS LTD,2019,FA-026,Adverse inventory growth,Financial Analytics Rules,financial_analytics,High,fail,Validation triggered,{'Inventory_Growth': np.float64(-0.1136)}
AARTI DRUGS LTD,2019,IS-013,Net income to reserve movement plausibility,Handbook Rules,cross_statement,Critical,fail,Validation triggered,"{'Net profit': np.float64(89.75), 'Dividend Amount': np.float64(2.36), 'Reserves': np.float64(519.86)}"
AARTI DRUGS LTD,2019,RAT-011,Net profit margin trend,Handbook Rules,trend,Medium,fail,Validation triggered,{'Profit_Margin': np.float64(0.0575)}
AARTI DRUGS LTD,2020,CF-002,Cash flow to cash-balance tie-out,Handbook Rules,integrity,Critical,fail,Validation triggered,"{'Cash & Bank': np.float64(7.64), 'Net Cash Flow': np.float64(2.13)}"
AARTI DRUGS LTD,2020,FA-021,Adverse borrowing growth,Financial Analytics Rules,financial_analytics,High,fail,Validation triggered,{'Borrowing_Growth': np.float64(-0.2338)}
AARTI DRUGS LTD,2020,IS-013,Net income to reserve movement plausibility,Handbook Rules,cross_statement,Critical,fail,Validation triggered,"{'Net profit': np.float64(141.4), 'Dividend Amount': np.float64(4.66), 'Reserves': np.float64(629.19)}"
AARTI DRUGS LTD,2021,CF-002,Cash flow to cash-balance tie-out,Handbook Rules,integrity,Critical,fail,Validation triggered,"{'Cash & Bank': np.float64(9.78), 'Net Cash Flow': np.float64(2.04)}"
AARTI DRUGS LTD,2021,FA-021,Adverse borrowing growth,Financial Analytics Rules,financial_analytics,High,fail,Validation triggered,{'Borrowing_Growth': np.float64(-0.0975)}
AARTI DRUGS LTD,2021,FA-024,Adverse operating-cash-flow growth,Financial Analytics Rules,financial_analytics,High,fail,Validation triggered,{'Operating_CF_Growth': np.float64(-0.382)}
AARTI DRUGS LTD,2021,FA-098,Revenue growth with operating cash-flow decline,Financial Analytics Rules,financial_analytics,High,fail,Validation triggered,"{'Revenue_Growth': np.float64(0.1931), 'Operating_CF_Growth': np.float64(-0.382)}"
AARTI DRUGS LTD,2021,FA-106,Operating cash flow below net profit,Financial Analytics Rules,financial_analytics,High,fail,Validation triggered,"{'Cash from Operating Activity': np.float64(154.95), 'Net profit': np.float64(280.41)}"
AARTI DRUGS LTD,2021,IS-011,Revenue versus operating cash flow correlation,Handbook Rules,cross_statement,High,fail,Validation triggered,"{'Revenue_Growth': np.float64(0.1931), 'Operating_CF_Growth': np.float64(-0.382)}"
AARTI DRUGS LTD,2021,IS-013,Net income to reserve movement plausibility,Handbook Rules,cross_statement,Critical,fail,Validation triggered,"{'Net profit': np.float64(280.41), 'Dividend Amount': np.float64(23.3), 'Reserves': np.float64(820.22)}"
AARTI DRUGS LTD,2022,CF-002,Cash flow to cash-balance tie-out,Handbook Rules,integrity,Critical,fail,Validation triggered,"{'Cash & Bank': np.float64(22.33), 'Net Cash Flow': np.float64(12.8)}"
